DsTS_ANN02033|ANN02033-RA	MCD7454679.1	97.651	596	0	1	1	596	1	582	0.0	1197
DsTS_ANN02033|ANN02033-RA	MCD7456373.1	32.096	539	313	13	82	588	49	566	2.03e-74	248
DsTS_ANN02033|ANN02033-RA	MCE3049934.1	23.790	248	151	10	344	573	7	234	4.49e-08	54.7
DsTS_ANN02033|ANN02033-RA	MCD7457967.1	25.410	244	151	10	344	573	231	457	1.34e-07	54.3
DsTS_ANN02033|ANN02033-RA	MCD7446342.1	24.590	244	153	10	344	573	229	455	3.86e-07	52.8
DsTS_ANN02033|ANN02033-RA	MCD7469751.1	34.783	92	55	3	94	184	48	135	8.04e-06	45.8
DsTS_ANN02033|ANN02033-RA	MCD7469744.1	40.351	57	34	0	111	167	1	57	2.68e-04	40.8
DsTS_ANN02033|ANN02033-RA	MCE3051073.1	33.333	75	48	2	111	184	1	74	6.25e-04	42.7
DsTS_ANN02033|ANN02033-RA	MCD7469746.1	33.333	75	48	2	111	184	1	74	7.05e-04	42.7
DsTS_ANN02033|ANN02033-RA	MCD9560515.1	39.062	64	37	2	107	169	45	107	0.001	42.0
DsTS_ANN02033|ANN02033-RA	MCE3049933.1	36.735	49	27	1	105	149	20	68	0.002	40.0
DsTS_ANN02033|ANN02033-RA	MCD7452136.1	25.743	101	61	3	484	582	395	483	0.002	40.8
DsTS_ANN02033|ANN02033-RA	MCD7457716.1	27.703	148	91	5	111	255	72	206	0.007	39.3
DsTS_ANN02033|ANN02033-RA	MCE3216284.1	44.737	38	21	0	112	149	1013	1050	0.013	38.9
DsTS_ANN02033|ANN02033-RA	MCD7469207.1	42.105	38	21	1	113	149	9	46	0.062	36.2
DsTS_ANN02033|ANN02033-RA	MCD7469207.1	18.939	132	104	2	462	591	323	453	2.3	31.2
DsTS_ANN02033|ANN02033-RA	MCD9644041.1	32.759	58	38	1	112	169	99	155	0.078	35.8
DsTS_ANN02033|ANN02033-RA	MCD7471522.1	38.889	36	22	0	112	147	6	41	0.25	34.3
DsTS_ANN02033|ANN02033-RA	MCD7446787.1	36.207	58	31	4	331	382	436	493	0.36	33.9
DsTS_ANN02033|ANN02033-RA	MCD7455049.1	27.500	80	57	1	110	189	15	93	0.37	33.9
DsTS_ANN02033|ANN02033-RA	MCD7470141.1	39.474	38	23	0	110	147	6	43	0.37	33.9
DsTS_ANN02033|ANN02033-RA	MCD7468723.1	48.276	29	15	0	112	140	229	257	0.55	33.5
DsTS_ANN02033|ANN02033-RA	MCD7470142.1	39.474	38	23	0	110	147	6	43	0.61	32.0
DsTS_ANN02033|ANN02033-RA	MCD9638443.1	42.222	45	23	1	113	154	87	131	0.62	33.1
DsTS_ANN02033|ANN02033-RA	MCD7454522.1	41.026	39	23	0	109	147	19	57	0.74	32.7
DsTS_ANN02033|ANN02033-RA	MCD7452457.1	41.667	48	28	0	112	159	11	58	0.78	32.7
DsTS_ANN02033|ANN02033-RA	MCD7453663.1	40.000	35	21	0	113	147	6	40	1.0	32.0
DsTS_ANN02033|ANN02033-RA	MCD7461083.1	28.358	67	44	2	243	305	984	1050	1.2	32.3
DsTS_ANN02033|ANN02033-RA	MCD7459040.1	45.000	40	21	1	113	151	87	126	1.7	31.6
DsTS_ANN02033|ANN02033-RA	MCD9638668.1	25.568	176	109	8	250	416	322	484	2.2	31.2
DsTS_ANN02033|ANN02033-RA	MCD9643089.1	26.923	78	49	2	304	374	279	355	3.1	30.8
DsTS_ANN02033|ANN02033-RA	MCE2055731.1	36.957	46	26	1	112	154	6	51	3.4	30.4
DsTS_ANN02033|ANN02033-RA	MCD7459117.1	25.263	95	66	3	112	201	7	101	4.2	30.0
DsTS_ANN02033|ANN02033-RA	MCD7465591.1	44.118	34	19	0	112	145	66	99	5.0	30.0
DsTS_ANN02033|ANN02033-RA	MCD7464269.1	36.538	52	29	2	104	151	76	127	5.4	30.0
DsTS_ANN02033|ANN02033-RA	MCD9638156.1	30.882	68	37	3	88	147	1817	1882	5.6	30.0
DsTS_ANN02033|ANN02033-RA	MCD7455102.1	36.111	36	23	0	113	148	11	46	6.6	29.6
DsTS_ANN02033|ANN02033-RA	MCD7453368.1	44.118	34	19	0	113	146	107	140	8.3	29.3
DsTS_ANN02033|ANN02033-RA	MCD7465850.1	37.500	40	24	1	113	151	88	127	9.3	29.3
MCD7454679.1	MCD7454679.1	100.000	582	0	0	1	582	1	582	0.0	1204
MCD7454679.1	MCD7456373.1	32.190	525	317	11	82	574	49	566	1.12e-76	254
MCD7454679.1	MCE3049934.1	23.790	248	151	10	330	559	7	234	4.55e-08	54.7
MCD7454679.1	MCD7457967.1	25.410	244	151	10	330	559	231	457	1.66e-07	53.9
MCD7454679.1	MCD7446342.1	24.590	244	153	10	330	559	229	455	3.76e-07	52.8
MCD7454679.1	MCD7469751.1	34.783	92	55	3	94	184	48	135	7.83e-06	45.8
MCD7454679.1	MCD9559167.1	20.299	468	299	20	127	565	46	468	2.25e-05	47.4
MCD7454679.1	MCD7452136.1	20.354	452	290	18	137	568	82	483	1.73e-04	44.3
